timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1705823796.786384,11,138.133.192.110232310.0.0.21806,138.133.192.110,2323,10.0.0.21,80,6,-1,-1,8,492000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,138.25.25.96230610.0.0.21806,138.25.25.96,2306,10.0.0.21,80,6,-1,-1,8,514000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,138.30.26.132232610.0.0.21806,138.30.26.132,2326,10.0.0.21,80,6,-1,-1,8,661000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,138.34.57.33215110.0.0.21806,138.34.57.33,2151,10.0.0.21,80,6,-1,-1,8,398000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,138.45.153.3224810.0.0.21806,138.45.153.3,2248,10.0.0.21,80,6,-1,-1,8,166000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,138.50.202.181208110.0.0.21806,138.50.202.181,2081,10.0.0.21,80,6,-1,-1,8,29000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,138.57.81.133235210.0.0.21806,138.57.81.133,2352,10.0.0.21,80,6,-1,-1,8,607000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,141.147.6.184207910.0.0.21806,141.147.6.184,2079,10.0.0.21,80,6,-1,-1,8,30000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,144.230.217.74225210.0.0.21806,144.230.217.74,2252,10.0.0.21,80,6,-1,-1,8,166000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,147.32.66.107211410.0.0.21806,147.32.66.107,2114,10.0.0.21,80,6,-1,-1,8,481000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,149.167.66.168207510.0.0.21806,149.167.66.168,2075,10.0.0.21,80,6,-1,-1,8,30000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,150.181.200.183236810.0.0.21806,150.181.200.183,2368,10.0.0.21,80,6,-1,-1,8,557000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,150.241.17.154213310.0.0.21806,150.241.17.154,2133,10.0.0.21,80,6,-1,-1,8,446000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,150.40.166.26229910.0.0.21806,150.40.166.26,2299,10.0.0.21,80,6,-1,-1,8,533000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,150.66.223.246232210.0.0.21806,150.66.223.246,2322,10.0.0.21,80,6,-1,-1,8,492000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,151.11.107.24222010.0.0.21806,151.11.107.24,2220,10.0.0.21,80,6,-1,-1,8,243000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,153.167.160.167222410.0.0.21806,153.167.160.167,2224,10.0.0.21,80,6,-1,-1,8,216000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,153.225.108.11224410.0.0.21806,153.225.108.11,2244,10.0.0.21,80,6,-1,-1,8,192000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,154.119.85.251212110.0.0.21806,154.119.85.251,2121,10.0.0.21,80,6,-1,-1,8,447000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,154.234.85.158221710.0.0.21806,154.234.85.158,2217,10.0.0.21,80,6,-1,-1,8,243000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,154.84.174.172226410.0.0.21806,154.84.174.172,2264,10.0.0.21,80,6,-1,-1,8,139000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,154.93.213.30212810.0.0.21806,154.93.213.30,2128,10.0.0.21,80,6,-1,-1,8,447000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,155.144.70.119216910.0.0.21806,155.144.70.119,2169,10.0.0.21,80,6,-1,-1,8,355000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,155.156.194.163233410.0.0.21806,155.156.194.163,2334,10.0.0.21,80,6,-1,-1,8,631000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,155.214.126.76223810.0.0.21806,155.214.126.76,2238,10.0.0.21,80,6,-1,-1,8,192000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,155.251.32.184218410.0.0.21806,155.251.32.184,2184,10.0.0.21,80,6,-1,-1,8,309000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,155.30.118.213206510.0.0.21806,155.30.118.213,2065,10.0.0.21,80,6,-1,-1,8,30000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,155.42.25.26237410.0.0.21806,155.42.25.26,2374,10.0.0.21,80,6,-1,-1,8,557000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,156.147.17.173235810.0.0.21806,156.147.17.173,2358,10.0.0.21,80,6,-1,-1,8,591000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,156.213.223.235224610.0.0.21806,156.213.223.235,2246,10.0.0.21,80,6,-1,-1,8,166000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,160.126.217.56236210.0.0.21806,160.126.217.56,2362,10.0.0.21,80,6,-1,-1,8,557000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,162.126.184.162236510.0.0.21806,162.126.184.162,2365,10.0.0.21,80,6,-1,-1,8,557000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,162.153.31.255230110.0.0.21806,162.153.31.255,2301,10.0.0.21,80,6,-1,-1,8,514000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,162.183.181.41222810.0.0.21806,162.183.181.41,2228,10.0.0.21,80,6,-1,-1,8,216000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,162.26.194.110229810.0.0.21806,162.26.194.110,2298,10.0.0.21,80,6,-1,-1,8,533000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,162.42.23.170231210.0.0.21806,162.42.23.170,2312,10.0.0.21,80,6,-1,-1,8,493000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,163.232.69.194213510.0.0.21806,163.232.69.194,2135,10.0.0.21,80,6,-1,-1,8,425000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,166.126.221.112234810.0.0.21806,166.126.221.112,2348,10.0.0.21,80,6,-1,-1,8,608000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,166.24.40.11214010.0.0.21806,166.24.40.11,2140,10.0.0.21,80,6,-1,-1,8,425000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,167.109.117.167220210.0.0.21806,167.109.117.167,2202,10.0.0.21,80,6,-1,-1,8,286000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,167.110.133.170237210.0.0.21806,167.110.133.170,2372,10.0.0.21,80,6,-1,-1,8,557000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,167.174.8.228212710.0.0.21806,167.174.8.228,2127,10.0.0.21,80,6,-1,-1,8,447000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,167.228.11.24217910.0.0.21806,167.228.11.24,2179,10.0.0.21,80,6,-1,-1,8,332000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,167.26.155.170215810.0.0.21806,167.26.155.170,2158,10.0.0.21,80,6,-1,-1,8,378000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,167.50.228.107205910.0.0.21806,167.50.228.107,2059,10.0.0.21,80,6,-1,-1,8,72000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,168.124.183.158213910.0.0.21806,168.124.183.158,2139,10.0.0.21,80,6,-1,-1,8,425000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,168.236.50.93224310.0.0.21806,168.236.50.93,2243,10.0.0.21,80,6,-1,-1,8,192000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,168.33.184.79225810.0.0.21806,168.33.184.79,2258,10.0.0.21,80,6,-1,-1,8,166000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,168.74.213.223212010.0.0.21806,168.74.213.223,2120,10.0.0.21,80,6,-1,-1,8,447000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,169.135.191.162227910.0.0.21806,169.135.191.162,2279,10.0.0.21,80,6,-1,-1,8,110000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,169.236.162.21220510.0.0.21806,169.236.162.21,2205,10.0.0.21,80,6,-1,-1,8,286000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,17.218.69.150217610.0.0.21806,17.218.69.150,2176,10.0.0.21,80,6,-1,-1,8,332000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,170.222.93.143230710.0.0.21806,170.222.93.143,2307,10.0.0.21,80,6,-1,-1,8,514000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,170.35.51.114227710.0.0.21806,170.35.51.114,2277,10.0.0.21,80,6,-1,-1,8,110000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,172.201.131.105220310.0.0.21806,172.201.131.105,2203,10.0.0.21,80,6,-1,-1,8,286000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,181.135.167.213234710.0.0.21806,181.135.167.213,2347,10.0.0.21,80,6,-1,-1,8,619000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,181.137.73.85217310.0.0.21806,181.137.73.85,2173,10.0.0.21,80,6,-1,-1,8,355000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,181.151.33.217231510.0.0.21806,181.151.33.217,2315,10.0.0.21,80,6,-1,-1,8,493000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,181.172.181.60216210.0.0.21806,181.172.181.60,2162,10.0.0.21,80,6,-1,-1,8,378000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,181.184.108.40219510.0.0.21806,181.184.108.40,2195,10.0.0.21,80,6,-1,-1,8,287000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
